DATE,Gyunglak_PRCE,예측가격
2015-07-22,3198.4,3111.272205653787
2015-08-05,2677.4,3117.3408546179535
2015-08-12,2831.7,3132.7935797870164
2015-07-30,3575.3,3187.9931523770097
2015-08-03,3053.9,3187.617317602039
2015-07-29,3601.6,3092.246923485399
2015-08-11,2807.8,3075.7939055562024
2015-08-04,2645.4,3085.6885679960255
2015-08-06,2714.7,2987.584671881795
2015-08-13,2497.7,2930.9211996436125
2015-07-31,3413.8,2861.143723055721
2015-08-18,2514.0,2758.5139565289023
2015-08-21,2326.2,2719.442026391626
2015-08-24,2386.5,2759.259632828832
2015-08-20,2314.0,2783.337031427026
2015-08-17,2527.7,2814.542144265771
2015-08-19,2429.6,2716.2151445865634
2015-08-25,2500.7,2671.4179207116367
2015-08-27,2496.1,2635.084519168735
2015-09-08,2198.6,2604.4642315328124
2015-09-01,2343.9,2664.560869374872
2015-09-03,2120.3,2670.084325918556
2015-08-26,2490.4,2690.567707815767
2015-08-31,2491.0,2655.6038605660206
2015-08-28,2491.6,2613.4022939383985
2015-09-09,2178.7,2548.1707941502336
2015-09-02,2283.8,2547.6470614314085
2015-09-04,2157.2,2513.3764978766444
2015-09-07,2208.1,2473.437479794026
2015-09-21,1952.6000000000001,2424.4652806282047
2015-09-18,1937.9,2477.4802169233562
2015-09-15,2155.4,2539.989814552665
2015-09-10,2184.8,2507.511232751608
2015-09-17,2191.4,2452.229687967897
2015-09-14,2215.9,2445.4242559134964
2015-09-22,2044.8999999999999,2380.4094797790053
2015-09-16,1979.1999999999998,2395.9870965451005
2015-09-30,1919.8999999999999,2350.646613556147
2015-10-07,2165.1,2365.35540240109
2015-10-05,2045.8,2320.0298058718445
2015-10-02,2011.1999999999998,2309.8072546571498
2015-09-23,1828.0,2340.21159196198
2015-10-01,1776.0,2364.545540326834
2015-10-08,2246.9,2389.803029185534
2015-10-06,2067.3,2347.8330726712943
2015-09-25,1954.6,2311.3896659910683
2015-10-16,1987.8000000000002,2329.31547677815
2015-10-21,1681.2999999999997,2318.5235668122773
2015-10-13,1752.1000000000001,2301.9019645601516
2015-10-15,2129.0,2328.169412711263
2015-10-20,1841.4,2319.9940397024156
2015-10-12,1900.3,2306.6393386989835
2015-10-22,1734.7,2335.6393221944572
2015-10-14,2024.7,2319.5006598949435
2015-10-19,1992.2,2303.730099144578
2015-10-29,1824.7,2280.989001968503
2015-11-03,1941.4999999999998,2295.6662779182197
2015-11-05,2110.7,2314.388997626305
2015-10-26,2014.5,2280.6025340080264
2015-10-28,1789.3999999999999,2288.091583225131
2015-10-23,2006.9,2293.3126706391577
2015-11-02,1910.7,2255.420057439804
2015-11-04,2269.9,2248.636665078998
2015-10-30,1770.3999999999999,2240.708368635178
2015-10-27,1969.8000000000002,2225.0727526754144
2015-11-20,1866.0999999999997,2205.603003352881
2015-11-17,2166.9,2225.1413850545887
2015-11-12,2178.4,2258.4731349945073
2015-11-19,1985.3000000000002,2265.0140907257796
2015-11-11,1872.2,2308.3630747348075
2015-11-06,2002.4,2323.7581873714926
2015-11-09,1969.2,2291.908703491092
2015-11-16,1788.5,2251.2363822698594
2015-11-18,1974.7,2259.631185561419
2015-11-13,2016.4,2300.8330394208433
2015-11-25,2268.9,2304.803470888734
2015-11-30,2232.8,2305.7457644551996
2015-12-02,2318.0,2303.490562474728
2015-11-27,2176.6,2276.4356786042454
2015-11-24,2339.4,2273.8423413246874
2015-11-26,2077.9,2317.8511628270153
2015-12-01,2613.3,2328.816683712602
2015-12-03,2470.8,2316.771797832847
2015-11-23,2150.6,2307.1512782484297
2015-12-11,2142.5,2370.9111451625827
2015-12-09,2240.7,2369.5549306839707
2015-12-18,2137.3,2372.3423719316725
2015-12-07,2476.7,2368.23177574575
2015-12-15,2078.9,2375.395449486375
2015-12-17,2145.1,2374.6607930332425
2015-12-10,2253.1,2370.9256449609998
2015-12-08,2418.4,2371.5046702444556
2015-12-14,2230.7,2378.432093936205
2015-12-16,1994.8,2379.805128180981
2015-12-30,1919.7,2381.533697482944
2016-01-05,2422.9,2382.733894130588
2015-12-22,2130.1,2377.1651982158423
2015-12-29,2025.5999999999997,2379.280815470219
2015-12-24,2067.9,2380.5782574325804
2015-12-31,2510.5,2381.688361999393
2016-01-04,2227.3,2388.321149787307
2015-12-21,2195.0,2399.144185987115
2015-12-28,2040.7,2429.795599856973
2015-12-23,1999.1,2470.226837763191
2016-01-15,2251.0,2520.2503689795735
2016-01-07,2471.3,2517.2405974894764
2016-01-12,2479.5,2517.190524852276
2016-01-19,2320.1,2512.98384333551
2016-01-14,2393.8,2526.128780588508
2016-01-11,2414.3,2519.4762730747466
2016-01-06,2363.1,2505.9823740065103
2016-01-08,2244.8,2508.3787073582416
2016-01-13,2316.9,2500.8245057135823
2016-01-18,2192.1,2506.073626071215
2016-01-20,2136.8,2504.5039745599033
2016-01-25,2695.3,2536.3638982951643
2016-01-27,2716.6,2574.93935533464
2016-02-01,2304.4,2623.6606113225225
2016-01-22,2127.9,2570.1457219779495
2016-02-03,2046.9,2594.240520334244
2016-01-29,2497.2,2539.31973053515
2016-01-26,2424.7,2532.08220448792
2016-01-21,2227.6,2589.3440350741153
2016-01-28,2675.4,2650.6226964831358
2016-02-02,2208.8,2685.827627047897
2016-02-19,2094.9,2669.8716622084385
2016-02-05,2018.5,2677.622867780924
2016-02-11,2257.7,2674.351906588674
2016-02-16,2503.6,2668.0336677610876
2016-02-18,2574.7,2667.154979977012
2016-02-15,2252.4,2673.6561095952993
2016-02-04,2359.3,2674.106956660748
